itrial,dataset,muh_fun,method,coverage,width
0,life,leastsq_ridge,naive,0.9509360877985797,34.404853313918025
0,life,leastsq_ridge,jackknife,0.9567462879276953,36.29753445014734
0,life,leastsq_ridge,jackknife+,0.9561007101355713,36.16266623624357
0,life,leastsq_ridge,jackknife-mm,0.9657843770174306,37.34438388682125
0,life,leastsq_ridge,CV+,0.9554551323434474,36.22659458930454
0,life,leastsq_ridge,split,0.9586830213040671,36.95515136863459
0,life,autogluon_rf,naive,0.7353131052291801,5.657331943511963
0,life,autogluon_rf,jackknife,0.9393156875403487,12.454666137695312
0,life,autogluon_rf,jackknife+,0.9128469980632666,12.268132992788162
0,life,autogluon_rf,jackknife-mm,0.9619109102646869,15.027532423104384
0,life,autogluon_rf,CV+,0.9147837314396384,12.250410572246555
0,life,autogluon_rf,split,0.907682375726275,15.701994895935059
